Date,Open,High,Low,Close,Volume,ret_1m,ret_3m,ret_6m,ret_12m
2024-07-29,154.92232099451437,154.95137319480324,153.06290628945447,153.5568084716797,5625000,0.08751717971489281,0.09375741439569008,0.009751348392194048,-0.05853087955405967
2024-07-30,153.53743751795594,156.45246972364046,153.36312431383226,156.23941040039062,6545700,0.10379026735957209,0.10771063209235732,0.02829385649186622,-0.04642066874282902
2024-07-31,154.80610904448247,155.29033207586676,152.7626872609482,152.8692169189453,8293200,0.07791565726316474,0.10053228154953198,0.009851723179642224,-0.02828424966748455
2024-08-01,153.47933721341528,155.73581845001956,152.73364433945065,155.68739318847656,7213400,0.10086970088400782,0.07196375856441262,0.02762713892400548,-0.018339397237415067
2024-08-02,156.79142964513863,159.6483576800265,155.91983399954577,158.96075439453125,11280400,0.12663872578505586,0.10370068858052228,0.052810976926620956,-0.003716916090040656
2024-08-05,158.6217882447941,160.54900140116322,155.51308438175957,156.1619415283203,12032200,0.10083292055711612,0.08898942893071804,0.04583162038040478,-0.025445269844395657
2024-08-06,155.9682422762783,156.38466699259277,153.92482048079626,153.95387268066406,7607100,0.09272747220208677,0.07857728367779604,0.036404166275471495,-0.030131095204121383
2024-08-07,153.85704093623576,155.55182176278393,153.19850462246018,153.88609313964844,5993000,0.08058485487275124,0.07708745870974587,0.02113556878425671,-0.05329632409623131
2024-08-08,153.56651372661807,155.62929398597922,153.0435445281827,155.16444396972656,5094800,0.07220776049352828,0.0843580353403961,0.030139578835252312,-0.04587269159917984
2024-08-09,155.06758055214198,155.85201950726653,154.31219379703575,155.5518035888672,4579200,0.07294572996407922,0.08053607048480194,0.043144039367976506,-0.0428828762176805
2024-08-12,155.8907619503775,156.59772342968168,153.70207919581088,154.8351593017578,7605400,0.06671995039840328,0.07512761692978343,0.03595355967489078,-0.04231218619049415
2024-08-13,155.2128802830814,155.3097160389822,151.50372947606655,153.39219665527344,9711400,0.061310748537501736,0.05588128498764222,0.019212396769207496,-0.0604056962006978
2024-08-14,152.84985552170903,154.51558405894275,152.43341599874296,153.47933959960938,5141200,0.04946696764453162,0.05536432674085323,0.028785558248728194,-0.05764942394234529
2024-08-15,153.3728012570324,154.46715005828628,152.8595260158264,154.07008361816406,7237800,0.016030054036931363,0.05047463705693822,0.03758616976105733,-0.051287293689262214
2024-08-16,154.1185146911031,154.8932745412862,153.18879991542036,154.36062622070312,5012800,0.025543657322786073,0.04147276235288411,0.025192372200304236,-0.04646569339887052
2024-08-19,154.4284445251274,155.23224190337356,154.10885549142276,154.59307861328125,4408400,0.03193490162182688,0.04061285917581192,0.02791688852237595,-0.05392033270469354
